,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 05:11:59.999,1657163340000,1170.54,1170.55,1169.59,1170.25,510.6415,1657163519999,597504.416307,651,223.7647,261816.600346,
2022-07-07 05:14:59.999,1657163520000,1170.25,1171.88,1169.83,1171.58,754.9179,1657163699999,884031.399657,878,507.5342,594376.545665,
2022-07-07 05:17:59.999,1657163700000,1171.59,1171.85,1169.73,1171.39,611.3014,1657163879999,715698.397877,825,262.8917,307753.030405,
2022-07-07 05:20:59.999,1657163880000,1171.39,1171.49,1170.07,1170.79,1289.1439,1657164059999,1509434.928882,1205,693.7371,812182.649079,
2022-07-07 05:23:59.999,1657164060000,1170.78,1171.13,1169.41,1169.89,557.0582,1657164239999,651827.178663,707,350.744,410397.460077,
2022-07-07 05:26:59.999,1657164240000,1169.88,1170.52,1169.75,1170.32,481.2296,1657164419999,563105.897374,617,203.2992,237874.35762,
2022-07-07 05:29:59.999,1657164420000,1170.33,1172.37,1169.71,1172.09,1071.5927,1657164599999,1254471.081893,823,640.1607,749350.516574,
2022-07-07 05:32:59.999,1657164600000,1172.1,1172.37,1168.66,1170.97,1504.908,1657164779999,1761182.344358,1096,631.7289,739154.845419,
2022-07-07 05:35:59.999,1657164780000,1170.98,1171.31,1170.44,1170.85,522.6699,1657164959999,611955.058599,627,244.917,286744.103926,
2022-07-07 05:38:59.999,1657164960000,1170.85,1171.58,1170.85,1171.33,321.3485,1657165139999,376394.415737,572,166.7557,195314.829519,
2022-07-07 05:41:59.999,1657165140000,1171.33,1173.17,1171.1,1172.79,930.8182,1657165319999,1091383.977537,960,601.7294,705572.331208,
2022-07-07 05:44:59.999,1657165320000,1172.79,1176.96,1172.79,1175.82,3124.5236,1657165499999,3671872.483751,2378,1721.4492,2022781.543612,
2022-07-07 05:47:59.999,1657165500000,1175.81,1178.2,1174.22,1174.23,1416.0406,1657165679999,1665809.229041,1439,734.9482,864589.365036,
2022-07-07 05:50:59.999,1657165680000,1174.22,1176.7,1173.5,1175.25,1154.8158,1657165859999,1356947.928236,1170,599.6647,704498.373321,
2022-07-07 05:53:59.999,1657165860000,1175.25,1176.66,1174.66,1176.66,419.3321,1657166039999,492905.445572,609,243.2609,285934.377743,
